Expediente|Numero|Inscripcion|Fojas|Tomo|Libro|Predio|Fecha|Lugar|Observaciones
46430|1|383922|||||7/5/12 000000|PUEBLA, PUE|
46517|1|1437305||||162503|3/5/12 000000|PUEBLA, PUE|
45285|1|1434661||||375978|27/4/12 000000|PUEBLA, PUE|
46388|1|470512|||||12/4/12 000000|PUEBLA, PUE|FOLIO MERCANTIL ELECTRNICO
46348|2|667|168 FRENTE|97|2||9/5/12 000000|CHOLULA, PUE|HIPOTECA
46348|1|829|209 FRENTE|298|1||9/5/12 000000|CHOLULA, PUE|C-V
45555|2|340491||||214565|27/1/12 000000|PUEBLA, PUE|HIPOTECA
45555|1|340475||||214565|27/1/12 000000|PUEBLA, PUE|COMPRA VENTA
45147|1|14319||||437308|23/4/12 000000|PUEBLA, PUE|
46226|1|1427842||||54697|10/4/12 000000|PUEBLA, PUE|
46501|1|471072|||||26/4/12 000000|PUEBLA, PUE|FOLIO MERCANTIL ELECTRONICO
46403|1|602|152|298|1||17/4/12 000000|CHOLULA, PUE|
46455|1|582|121VTA|100|2||10/4/12 000000|CHOLULA, PUE|
46461|1|1430589||||169487|18/4/12 000000|PUEBLA, PUE|
46374|1|1434220||||431758|26/4/12 000000|PUEBLA, PUE|
46377|1|580|121 FTE|100|2||10/4/12 000000|CHOLULA, PUE|
46236|1|340470||||126723|27/1/12 000000|PUEBLA, PUE|
46421|1|1430047||||149591|17/4/12 000000|PUEBLA, PUE|
46513|1|472032|||||3/5/12 000000|PUEBLA, PUE|FOLIO MERCANTIL ELECTRONICO
46505|1|471042|||||12/4/12 000000|PUEBLA, PUE|FOLIO MERCANTIL ELECTRONICO
45221|3|1427382||||437208|9/4/12 000000|PUEBLA, PUE|DE LA DONACION
45221|2|1427321||||437209|9/4/12 000000|PUEBLA, PUE|2DA FRACC DE LA SUBDIVISION
45221|1|1427321||||437207|9/4/12 000000|PUEBLA, PUE|1 FRACC DE LA SUBDIVISION
46055|1|460762|||||22/9/11 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
45745|1|1435268||||0437413  1|27/4/12 000000|PUEBLA|PRIVADA BENITO JUAREZ  13 PU 496630-01
45331|2|1434488||||370083|26/4/12 000000|PUEBLA|POR LA DECLARACION DE ERECCION
45331|1|1434373||||370083|26/4/12 000000|PUEBLA|POR LA FUSION
46391|1|27513|||||12/4/12 000000|CHOLULA, PUE|
46381|1|47|14|1|PERS JURID||27/3/12 000000|PUEBLA, PUE|MAT 379 TOMO 6 LIBRO 6
46431|1|383922|||||12/4/12 000000|PUEBLA, PUE|FOLIO MERCANTIL ELECTRONICO
46428|1|1086554|||||17/4/12 000000|PUEBLA, PUE|MAT733/2007
46429|1|1086555|||||18/4/12 000000|PUEBLA, PUE|MAT 733/2007
45404|3|441|5765/5777|11|SECC. 2a.||15/8/11 000000|MTNEZ. DE LA TORRE VERACRUZ|POR EL MUTUO
45404|2|1887|8435/8447|47|SECC. 1a.||15/8/11 000000|MTNEZ. DE LA TORRE VERACRUZ|POR LA COMPRAVENTA
45404|1|440|5752/5764|11|SECC. 2a.||15/8/11 000000|MTNEZ. DE LA TORRE VERACRUZ|POR LA CANCELACIN DE HIPOTECA
46369|1|725|182 vta|295|1||10/4/12 000000|CHOLULA, PUEBLA|
46506|1|382912|||||12/4/12 000000|PUEBLA, PUE|FOLIO MERCANTIL ELECTRONICO
46508|1|363452|||||12/4/12 000000|PUEBLA, PUE|FOLIO MERCANTIL ELECTRONICO
46512|1|130|41|XLVIII|||13/4/12 000000|PUEBLA, PUE|MAT 86 TOMO 23 LIBRO 1
46478|1|131|41|XLVIII|||13/4/12 000000|PUEBLA, PUE|MAT 86 TOMO 23 LIBRO 1
46477|1|132|41 VTA|XLVIII|||13/4/12 000000|PUEBLA, PUE|MAT183 TOMO33 LIBRO 1
46475|1|129|41|XLVIII|||13/4/12 000000|PUEBLA, PUE|MAT 86 TOMO 23 LIBRO 1
42673|1|471|158|XLIII|AUX||3/9/07 000000|PUEBLA, PUE.|MAT 86/23
42672|1|939920|||||3/9/07 000000|PUEBLA, PUE|MAT 86/74
45567|1|4065|||||14/3/12 000000|TLAXCALA, TLAX|FOLIO MERCANTIL ELECTRONICO
46435|2|1428041||||25381|13/4/12 000000|PUEBLA|POR EL RGIMEN
46435|1|1428040||||25381|13/4/12 000000|PUEBLA|POR LA ERECCIN
46476|1|125|39 vta|XLVIII|||10/4/12 000000|PUEBLA|MAT 86, TOMO 23 LIBRO 1
46412|1|12|6|11|2||15/3/12 000000|TLATLAUQUITEPEC, PUEBLA|
46411|1|320|186|IX|2/HIPOTECA||15/3/12 000000|ZACAPOAXTLA, PUEBLA|
46364|1|1418599||||375925|13/3/12 000000|PUEBLA|
46075|2|486|97 VTA|100|2||12/3/12 000000|CHOLULA, PUEBLA|POR LA HIPOTECA
46075|1|509|128 VTA|295|1||12/3/12 000000|CHOLULA, PUEBLA|POR LA COMPRA-VENTA
45662|1|1416673||||215553|8/3/12 000000|PUEBLA|
46353|1|3075|||||21/2/12 000000|TLAXCALA, TLAXCALA|FOLIO MERCANTIL ELECTRONICO
44642|1|200958||||28841|7/3/11 000000|TECALI, PUEBLA|
46286|2|481|96 VTA|100|2||12/3/12 000000|CHOLULA, PUEBLA|POR LA HIPOTECA
46286|1|502|126 VTA|295|1||12/3/12 000000|CHOLULA, PUEBLA|POR LA COMPRA-VENTA
46086|1|91|24 VTA|298|1||15/3/12 000000|CHOLULA, PUEBLA|
46327|1|35203|||||26/3/12 000000|CHOLULA, PUEBLA|FOLIO MERCANTIL ELECTRONICO
45964|1|1423442||||27382|27/3/12 000000|PUEBLA|
46301|1|1419970||||73005|15/3/12 000000|PUEBLA|
45982|1|625|124 VTA|149|1||29/3/12 000000|HUEJOTZINGO, PUEBLA|
46387|1|470512|||||3/4/12 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
46380|1|469482|||||15/3/12 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
46297|1|1420956||||353828|20/3/12 000000|PUEBLA|
45850|1|1423108||||39599|26/3/12 000000|PUEBLA|
45860|1|1423228||||395991|26/3/12 000000|PUEBLA, PUE|
46351|1|591|149 fte|295|1||21/3/12 000000|CHOLULA, PUEBLA|
46349|1|468962|||||9/3/12 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
46370|1|469652|||||15/3/12 000000|PUEBLA, PUE|FOLIO MERCANTIL ELECTRONICO
46372|1|469602|||||15/3/12 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
46278|2|1413908||||392928|1/3/12 000000|PUEBLA|HIPOTECA
46278|1|1413889||||392928|1/3/12 000000|PUEBLA|COMPRA-VENTA
41900|1|277|36 fte|149|1||6/3/12 000000|HUEJOTZINGO, PUEBLA|
46340|1|99|33|XLVIII|CC||8/3/12 000000|PUEBLA, PUE|MAT 86 TOMO 23 LIBRO 1
46362|1|1416949||||371209|8/3/12 000000|PUEBLA|
46342|1|40|12|1 PERS JUR|||24/2/12 000000|PUEBLA|MATRI 38 TOMO 33 LIBRO 6TO.
46341|1|90|30 VTA|XLVIII||TOMO 33|22/2/12 000000|PUEBLA|MAT 182, TOMO 33, LIBRO 1
46328|1|124|19 FTE|22|2||5/3/12 000000|HUEJOTZINGO, PUEBLA|
46314|1|6|2 FTE|22|2||22/2/12 000000|HUEJOTZINGO, PUEBLA|
46312|1|463|117 FTE|295|1||8/3/12 000000|CHOLULA, PUEBLA|
46302|1|476|120 FTE|97|2||28/2/12 000000|CHOLULA, PUEBLA|
46300|1|461|116 VTA|295|1||8/3/12 000000|CHOLULA, PUEBLA|
46270|1|1410017||||228592|22/2/12 000000|PUEBLA|
46217|1|1415698||||42398|6/3/12 000000|PUEBLA, PUE|
46204|1|734|184 VTA|294|1||28/2/12 000000|CHOLULA, PUEBLA|
46176|1|1411016||||231159|23/2/12 000000|PUEBLA, PUE|
45977|1|462|116 VTA|295|1||8/3/12 000000|CHOLULA, PUEBLA|
46170|1|464|117 fte|295|1||8/3/12 000000|CHOLULA, PUEBLA|
46256|1|702|210 FTE|293|1||16/2/12 000000|CHOLULA, PUEBLA|
46359|1|435692|||||22/2/12 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
45942|1|791|186 VTA|294|1||28/2/12 000000|CHOLULA, PUE|
44037|1|245|67 FTE|290|1||19/9/11 000000|CHOLULA, PUEBLA|
46203|1|536|135 fte|294|1||16/2/12 000000|CHOLULA, PUEBLA|
45963|1|537|135 vta|294|1||16/2/12 000000|CHOLULA, PUEBLA|
46130|1|346|87 VTA|294|1||25/1/12 000000|CHOLULA, PUEBLA|
46228|1|1394491||||98321|28/1/12 000000|PUEBLA|
46271|1|1397083||||108727|23/1/12 000000|PUEBLA|
46205|1|799|200 FTE|SECC 2|VOL. 6||24/1/12 000000|TLAXCALA|DISTRITO DE MORELOS, TLAXCALA
46272|1|30|9 VTA|1|PERS JURID||17/1/12 000000|PUEBLA|MAT. 379, TOMO 6, LIBRO 6
46216|1|370872|||||27/1/12 000000|PUEBLA|REVOCA 3 MANDATOS
46283|1|380532|||||18/1/12 000000|PUEBLA|
46293|1|647|167 FTE|96|2||3/2/12 000000|CHOLULA, PUEBLA|
46298|1|385|97 vta|294|1||3/2/12 000000|CHOLULA, PUEBLA|
46290|1|1402451||||379657|3/2/12 000000|PUEBLA|
46287|1|1403344||||326758|7/2/12 000000||
46251|1|1402543||||193162|3/2/12 000000|PUEBLA|
46291|1|1400290||||145972|30/1/12 000000|PUEBLA|
46289|1|1399149||||362749|26/1/12 000000|PUEBLA|
46288|1|1398796||||133464|26/1/12 000000|PUEBLA|
46229|1|144|37|156|1||16/1/12 000000|TEPEACA, PUEBLA|FOLIO 42606 A LA 42266
46230|44|300|76|156|1|F-46648|13/2/12 000000|TEPEACA, PUEBLA|EDGAR HERNANDEZ OJEDA
46230|43|299|76|156|1|F-42647|13/2/12 000000|TEPEACA, PUEBLA|TERESA GUTIERREZ MARTINEZ
46230|42|298|76|156|1|F-42646|13/2/12 000000|TEPEACA, PUEBLA|MARIA FELIX GARCIA HERNANDEZ
46230|41|297|76|156|1|F-42645|13/2/12 000000|TEPEACA, PUEBLA|SAMUEL TORRES MARTINEZ
46230|40|296|75|156|1|F-42644|13/2/12 000000|TEPEACA, PUEBLA|RAMIRO ROSSI RUIZ RAMIREZ
46230|39|295|75|156|1|F-42643|13/2/12 000000|TEPEACA, PUEBLA|JUANA LOURDES PORRAS VIVANCO
46230|38|294|75|156|1|F-42642|13/2/12 000000|TEPEACA, PUEBLA|SOILA YURI CRUZ PEREZ
46230|37|293|75|156|1|F-42641|13/2/12 000000|TEPEACA, PUEBLA|MA. MODESTA CASTRO GONZALEZ
46230|36|292|74|156|1|F-42640|10/2/12 000000|TEPEACA, PUEBLA|ENRIQUE VALDEZ SANDOVAL
46230|35|291|74|156|1|F-42639|13/2/12 000000|TEPEACA, PUEBLA|MARCELINA ESPERANZA ALONSO MENDEZ
46230|34|290|74|156|1|F-42638|10/2/12 000000|TEPEACA, PUEBLA|ANTONIO ENRIQUEZ HERNANDEZ
46230|33|289|74|156|1|F-42637|10/2/12 000000|TEPEACA, PUEBLA|FILEMON CARVAJAL FLORES
46230|32|288|73|156|1|F-42636|10/2/12 000000|TEPEACA, PUEBLA|MARGARITA MAURICIO TEODORO
46230|31|287|73|156|1|F-42635|10/2/12 000000|TEPEACA, PUEBLA|PASCUAL GONZALEZ LUNA
46230|30|286|73|156|1|F-42634|10/2/12 000000|TEPEACA, PUEBLA|MARIA GUADALUPE PEREZ DE LOS SANTOS
46230|29|285|73|156|1|F-42633|10/2/12 000000|TEPEACA, PUEBLA|ALFONSO HERNANDEZ OJEDA
46230|28|284|72|156|1|F-42632|10/2/12 000000|TEPEACA, PUEBLA|CLARA SABINA REYES SILVA
46230|27|283|72|156|1|F-42631|10/2/12 000000|TEPEACA, PUEBLA|DIANA DOLORES ROSAS AMARO
46230|26|282|72|156|1|F-42630|10/2/12 000000|TEPEACA, PUEBLA|FLOR SANCHEZ RODRIGUEZ
46230|25|281|72|156|1|F-42629|10/2/12 000000|TEPEACA, PUEBLA|MARIA ELENA REYNOSO PEREZ
46230|24|280|71|156|1|F-42628|10/2/12 000000|TEPEACA, PUEBLA|MARIA ELENA SERRANO GARCIA
46230|23|279|71|156|1|F-42627|10/2/12 000000|TEPEACA, PUEBLA|ROSA MARIA CRUZ ALCANTARA
46230|22|278|71|156|1|F-42626|10/2/12 000000|TEPEACA, PUEBLA|JOSE HERMENEGILDO DELFINO ROSAS FLORES
46230|21|277|71|156|1|F-42625|10/2/12 000000|TEPEACA, PUEBLA|RAUL REYNOSO CRUZ
46230|20|276|71|156|1|F-42624|10/2/12 000000|TEPEACA, PUEBLA|GERMAN FLORENTINO ROSAS FLORES
46230|19|275|70|156|1|F-42623|10/2/12 000000|TEPEACA, PUEBLA|ANTOLIN COSME
46230|18|274|70|156|1|F-42622|10/2/12 000000|TEPEACA, PUEBLA|TERESA REYNOSO PEREZ
46230|17|273|70|156|1|F-42621|10/2/12 000000|TEPEACA, PUEBLA|JULIA PALACIOS JIMENEZ
46230|16|272|69|156|1|F-42620|10/2/12 000000|TEPEACA, PUEBLA|XOCHITL MARTINEZ ROSALES
46230|15|271|69|156|1|F-42619|10/2/12 000000|TEPEACA, PUEBLA|BLANCA MARTINEZ LEAL
46230|14|270|69|156|1|F-42618|10/2/12 000000|TEPEACA, PUEBLA|JUAN INOSCENCIO VILLEGAS MACIAS
46230|13|269|69|156|1|F-42617|10/2/12 000000|TEPEACA, PUEBLA|JOSE GENARO ROBLES MORENO
46230|12|268|68|156|1|F-42616|10/2/12 000000|TEPEACA, PUEBLA|EVA SEDANO JUAREZ
46230|11|267|68|156|1|F-42616|10/2/12 000000|TEPEACA, PUEBLA|AGUSTINA GARCIA MORENO
46230|10|266|68|156|1|F-42615|10/2/12 000000|TEPEACA, PUEBLA|MARIA LETICIA JUANA ENRIQUEZ ALONSO
46230|9|265|68|155|1|F-42614|10/2/12 000000|TEPEACA, PUEBLA|JOSE LUIS AGUILAR VALVERDE
46230|8|264|67|156|1|F-42613|10/2/12 000000|TEPEACA, PUEBLA|JOSE NORBERTO ARENAS PEREZ
46230|7|263|67|156|1|F-42612|10/2/12 000000|TEPEACA, PUEBLA|MARIA AGUSTINA DOLORES GARCIA
46230|6|262|67|156|1|F-42611|10/2/12 000000|TEPEACA, PUEBLA|JOSE HERNANDEZ MUOZ
46230|5|261|66|156|1|F-42610|10/2/12 000000|TEPEACA, PUEBLA|FRANCISCO JAVIER ROSALES SANCHEZ
46230|4|260|66|156|1|F-42609|10/2/12 000000|TEPEACA, PUEBLA|OSCAR ELIAS VILLEGAS MACIAS
46230|3|259|66|156|1|F-42608|10/2/12 000000|TEPEACA, PUEBLA|FRANCISCA VASQUEZ
46230|2|258|66|156|1|F-42607|10/2/12 000000|TEPEACA, PUEBLA|MARIA DEL ROCIO SANCHEZ PONCE
46230|1|257|66|156|1|F-42606|10/2/12 000000|TEPEACA, PUEBLA|MARCELINA ALCANTARA PEREZ
46322|1|466322|||||19/1/12 000000|PUEBLA, PUEBLA|
41983|1|34|10|217|1||7/11/06 000000|CHOLULA, PUEBLA|
46258|1|375|108 VTA|293|1||23/1/12 000000|CHOLULA, PUEBLA|
46260|1|376|109 FTE|293|1||23/1/12 000000|CHOLULA, PUEBLA|
46273|1|466122|||||16/1/12 000000|PUEBLA, PUE|FOLIO MERCANTIL ELECTRONICO
46261|1|13416|||||24/1/12 000000|TECALI DE HERRERA, PUE|
46036|1|222|58 FTE|293|1||5/1/12 000000|CHOLULA, PUEBLA|
46220|1|271|69 FTE|97|2||20/1/12 000000|CHOLULA, PUEBLA|
46268|1|205|52 VTA|97|2||5/1/12 000000|CHOLULA, PUEBLA|
46218|1|214|56 FTE|293|1||5/1/12 000000|CHOLULA, PUEBLA|
43675|1|1048|179 FTE|148|1||23/1/12 000000|HUEJOTZINGO, PUEBLA|
45488|1|614|155|158|1||18/1/12 000000|ATLIXCO, PUEBLA|
46219|1|270|68 VTA|97|2||20/1/12 000000|CHOLULA, PUEBLA|
46043|1|999|173 FTE|148|1||16/1/12 000000|HUEJOTZINGO, PUEBLA|
46044|1|1000|173 fte|148|1||16/1/12 000000|HUEJOTZINGO, PUEBLA|
45841|1|998|172 VTA|148|1||16/1/12 000000|HUEJOTZINGO, PUE|LAS HIJUELAS QUEDARON CON EL MISMO 
45918|1|1392802||||124280|12/1/12 000000|PUEBLA, PUE|
45554|2|1393373||||197522|13/1/12 000000|PUEBLA, PUE|HIPOTECA
45554|1|1393366||||197522|13/1/12 000000|PUEBLA, PUE|C-V
46191|1|1392834||||1614|12/1/12 000000|PUEBLA, PUE|
46063|1|1392545||||251550|11/1/12 000000|PUEBLA, PUE|
46209|1|1086093|||||21/12/11 000000|PUEBLA, PUE|MAT 299/2007
46249|1|465602|||||4/1/12 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
46263|1|1390183||||344572|3/1/12 000000|PUEBLA|
46059|1|440742|||||22/9/11 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
46201|2|1390223||||20235|3/1/12 000000|PUEBLA, PUE|COMPRA VENTA
46201|1|1390193||||20235|3/1/12 000000|PUEBLA,PUE|APLICACION
46021|1|1085546|||||31/8/11 000000|PUEBLA|MAT 368/2011
46276|1|447742|||||20/12/11 000000|PUEBLA, PUE|
46245|1|1385509||||120521|19/12/11 000000|PUEBLA, PUE|
46181|1|1380349||||180952|7/12/11 000000|PUEBLA, PUE|
46135|1|1383211||||233112|15/12/11 000000|PUEBLA, PUE|
46233|1|1385021||||373569|19/12/11 000000|PUEBLA, PUE|
45857|2|1384887||||78415|19/12/11 000000|PUEBLA, PUE|HIPOTECA
45857|1|1384857||||78415|19/12/11 000000|PUEBLA, PUE|COMPRA VENTA
46232|1|138663||||338248|20/12/11 000000|PUEBLA, PUE|
46234|1|1386514||||406794|20/12/11 000000|PUEBLA, PUE|
46235|1|185|47 VTA|100|1||23/12/11 000000|CHOLULA, PUE|
45948|1|1386451||||29711|20/12/11 000000|PUEBLA, PUE|
46264|1|13893311||||73005|27/12/11 000000|PUEBLA, PUE|
46250|1|1384833||||193881|19/12/11 000000|PUEBLA, PUE|
46238|1|1386611||||403727|20/12/11 000000|PUEBLA, PUE|
46157|2|1384121||||433123|16/12/11 000000|PUEBLA, PUE|DE LA COMPRA VENTA
46157|1|1384109||||433123|16/12/11 000000|PUEBLA, PUE|DE LA ERECCION
45064|1|138839||||436318|22/12/11 000000|PUEBLA, PUE|
46192|1|464332|||||6/12/11 000000|PUEBLA, PUE|
45267|3|1386212||||435893|20/12/11 000000|PUEBLA, PUE|CONCEPCION RAMOS GARCIA
45267|2|1386212||||435892|20/12/11 000000|PUEBLA, PUE|DOLORES BERNAL
45267|1|1386212||||435891|20/12/11 000000|PUEBLA, PUE|MARIA BERNAL
46040|1|1380477||||1124|7/12/11 000000|PUEBLA, PUE|
43336|1|1383253||||434977|15/12/11 000000|PUEBLA, PUE|
45967|1|1384558||||381212|19/12/11 000000|PUEBLA|
45875|1|1382518||||319683|14/12/11 000000|PUEBLA|
46069|1|771||291|1||12/12/11 000000|CHOLULA, PUEBLA|
46197|1|442||96|2||12/12/11 000000|CHOLULA, PUEBLA|
46252|1|454212|||||9/12/11 000000|PUEBLA, PUEBLA|
45975|1|803||291|1||14/12/11 000000|CHOLULA,  PUE.|
46240|1|164|42|100|2||19/12/11 000000|HUEJOTZINGO, PUE|
46239|1|1524|167 VTA|21|2||19/12/11 000000|HUEJOTZINGO, PUE|
46237|1|492|123 VTA|96|2||20/12/11 000000|HUEJOTZINGO, PUE|
46175|1|865|155 VTA|148|1||19/12/11 000000|HUEJOTZINGO, PUE|
46129|1|872|156 FTE|148|1||20/12/11 000000|HUEJOTZINGO, PUE|
46128|1|871|156 FTE|148|1||20/12/11 000000|HUEJOTZINGO, PUE|
46247|1|1525|167 VTA|21|2||19/12/11 000000|HUEJOTZINGO, PUE|
46257|1|47|12|2|8||20/12/11 000000|HUEJOTZINGO, PUE.|
46092|1|46|12 VTA|2|8||19/12/11 000000|HUEJOTZINGO, PUE|
46093|1|864|155 fte|148|1||19/12/11 000000|HUEJOTZINGO, PUE|
45962|4|801||291|1||14/12/11 000000|CHOLULA, PUE|MIGUEL CALDERON XOCHIMITL
45962|3|800||291|1||14/12/11 000000|CHOLULA, PUE|IGNACIO CALDERON XOCHIMITL
45962|2|799||291|1||14/12/11 000000|CHOLULA, PUE|DAVID CALDERON XOCHIMITL
45962|1|798||291|1||14/12/11 000000|CHOLULA, PUE|VICTOR CALDERON XOCHIMITL
46155|1|10006|||||16/11/11 000000|TECALI, PUEBLA|FOLIO MERCANTIL ELECTRONICO
46133|1|86|22 VTA|293|1||9/12/11 000000|CHOLULA, PUEBLA|
46038|1|748|130 fte|148|1||2/12/11 000000|HUEJOTZINGO, PUEBLA|
46171|1|1085993|||||1/12/11 000000|PUEBLA, PUE.|MAT. 498/2011
45816|3|330|25|XX|2||16/11/11 000000|TECAMACHALCO, PUEBLA|MUTUO
45816|2|2227|140 VTA|LXXXII|1||16/11/11 000000|TECAMACHALCO, PUEBLA|COMPRA-VENTA
45816|1|329|25|XX|2||16/11/11 000000|TECAMACHALCO, PUEBLA|CANCELACION DE HIPOTECA
46153|1|10006|||||16/11/11 000000|TECALI DE HERRERA, PUEBLA|FOLIO MERCANTIL ELECTRONICO
46154|1|10006|||||16/11/11 000000|TECALI DE HERRERA, PUEBLA|FOLIO MERCANTIL ELECTRONICO
46116|1|363452|||||25/10/11 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
46164|1|462892|||||10/11/11 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
46167|1|1373442||||19234|22/11/11 000000|PUEBLA|
46013|1|1365014||||33207|27/10/11 000000|PUEBLA|
46087|1|8|3|I.P.J.|||4/11/11 000000|PUEBLA|MAT 301 TOMO 23, LIB 6to.
46161|1|1085915|||||10/11/11 000000|PUEBLA|MAT 478/20011
45914|1|1085902|||||8/11/11 000000|PUEBLA|MAT 1633/2002
46023|1|903|228|155|1||15/11/11 000000|TEPEACA, PUEBLA|
45879|1|1360969||||36206|19/10/11 000000|PUEBLA|
45873|1|298|88|292|1||7/11/11 000000|CHOLULA, PUEBLA|
45989|1|1366127||||295402|31/10/11 000000|PUEBLA|
46142|1|1370494||||6240|10/11/11 000000|PUEBLA|
45973|1|386532|||||21/10/11 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
46046|1|1363588||||25381|25/10/11 000000|PUEBLA, PUE.|
46143|1|461982|||||19/10/11 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
46168|1|4707|||||4/11/11 000000|TLAXCALA, TLAX|
45872|1|216854||||26409|7/11/11 000000|TECALI, PUE|
40808|1|351||137|1||7/11/05 000000|HUEJOTZINGO, PUE|
45957|2|299|88|292|1||7/11/11 000000|CHOLULA, PUEBLA.|
45957|1|606|154|95|2||7/11/11 000000|CHOLULA,  PUEBLA|
46146|1|379566|||||26/10/11 000000|CD. DE MEXICO, D.F.|FOLIO MERCANTIL
46019|1|1366149||||232907|30/8/11 000000|PUEBLA|
46138|1|1366231||||65056|31/10/11 000000|PUEBLA|
46004|1|1363744||||72992|25/10/11 000000|PUEBLA|
46139|1|1366055||||138257|31/10/11 000000|PUEBLA|
45898|1|1364973||||09284|27/10/11 000000|PUEBLA|
46134|1|462372|||||28/10/11 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
46132|1|1085861|||||31/10/11 000000|PUEBLA|MAT 459/2011
46117|1|370872|||||25/10/11 000000|PUEBLA, PUE|
45931|1|1361101||||413834|19/10/11 000000|PUEBLA, PUE|
45934|1|1358484||||0434333|1/10/11 000000|PUEBLA, PUE|
45469|1|447742|||||17/2/11 000000|PUEBLA, PUE.|FOLIO MERCANTIL ELECTRONICO
45889|1|1348210||||377839|15/9/11 000000|PUEBLA|
45894|1|1361507||||200092|23/6/11 000000|PUEBLA|
45720|1|1357550||||09284|11/10/11 000000|PUEBLA|
46122|1|1362938||||277455|24/10/11 000000|PUEBLA|
46003|1|1363779||||21029|25/10/11 000000|PUEBLA|
46048|1|3|2|6|6|MAT. 379|19/10/11 000000|PUEBLA|
46008|2|1359984||||213054|17/10/11 000000|PUEBLA|POR LA HIPOTECA
46008|1|1359966||||213054|17/10/11 000000|PUEBLA|POR LA COMPRA-VENTA
46037|1|382912|||||4/10/11 000000|PUEBLA,  PUE.|FOLIO MERCANTIL ELECTRONICO
45140|1|249|43|162|I||18/1/11 000000|TEZIUTLAN,  PUEBLA|
46108|1|461712|||||12/10/11 000000|PUEBLA,  PUE.|FOLIO MERCANTIL ELECTRONICO
46006|1|125|32|95|2||6/10/11 000000|CHOLULA, PUEBLA|
45971|1|520|194|290|1||6/10/11 000000|CHOLULA, PUEBLA|
46031|1|363452|||||27/9/11 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
45097|1|382912|||||22/9/11 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
46032|1|370872|||||26/9/11 000000|PUEBLA, PUE|
45968|1|521|195 FTE|290|1||6/10/11 000000|CHOLULA, PUE|
45994|1|124|32|95|2||6/10/11 000000|CHOLULA, PUE|
41652|1|494|188|290|1||5/10/11 000000|CHOLULA,  PUE.|
46014|1|1321707|111-124|539|QUINTO|188969-1|20/6/11 000000|PUEBLA|
45444|2|157|40 VTA.|89|2||21/1/11 000000|CHOLULA, PUEBLA|
45444|1|602|158|280|1||21/1/11 000000|CHOLULA,PUEBLA|
45484|1|576|108|SECC.1A.|VOL.126||13/4/11 000000|DISTRITO DE HIDALGO,  TLAX.|
45819|1|382912|||||21/7/11 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
44812|1|1104|237|XLIV|1-A||8/9/11 000000|PUEBLA|MAT 86 FOJA 86 TOMO 23 LIBRO 1
45099|1|363452|||||13/9/11 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
45724|1|1348152||||66025 1|15/9/11 000000|PUEBLA|
45408|1|460556|||||21/9/11 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
46064|1|550|95|2|2 ||27/9/11 000000|ZACATLAN, PUEBLA|
45952|1|1350952||||127987 1|26/9/11 000000|PUEBLA|
46027|1|382912|||||22/9/11 000000|PUEBLA|FOLIO MERCATIL ELECTRONICO
46028|1|382912|||||22/9/11 000000|PUEBLA|FOLIO MERCANTIL ELECTRONICO
46022|6|1352968||||434135|28/9/11 000000|PUEBLA, PUE|DEPTO 6
46022|5|1352961||||434133|28/9/11 000000|PUEBLA, PUE|DEPTO 5
46022|4|1352952||||434132|28/9/11 000000|PUEBLA, PUE|DEPTO 4
46022|3|1352844||||434131|28/9/11 000000|PUEBLA, PUE|DEPTO 3
46022|2|1352932||||434130|28/9/11 000000|PUEBLA, PUE|DEPTO 2
46022|1|1352914||||434129|28/9/11 000000|PUEBLA, PUE|DEPTO 1
45958|2|1607|103 FTE|21|2||19/9/11 000000|HUEJOTZINGO, PUEBLA|
45958|1|1715|236 fte|147|1||19/9/11 000000|HUEJOTZINGO, PUEBLA|
44916|1|205|56|154|1||19/5/10 000000|ATLIXCO, PUEBLA.|
44982|1|464|125|154|1||10/8/10 000000|ATLIXCO, PUEBLA|
45933|1|1709|235 VTA|147|1||14/9/11 000000|HUEJOTZINGO, PUEBLA|
45944|1|1708|235 VTA|147|1||14/9/11 000000|HUEJOTZINGO, PUEBLA|
46035|1|460042|||||13/9/11 000000|PUEBLA, PUEBLA|
44822|2|1182774||||370771-1|14/4/10 000000|PUEBLA, PUEBLA|HIPOTECA
44822|1|1182693||||370771-1|14/4/10 000000|PUEBLA, PUE|COMPRA-VENTA
