Expediente|Numero|Inscripcion|Fojas|Tomo|Libro|Predio|Fecha|Lugar|Observaciones
58402|1|NCI|202400077744||FME    N-|2022088865|22/3/24 000000|PUEBLA|POR LA PROTOCOLIZACION
56710|3|3010098|348 a 379 |1206|APENDICE|0031755 1|11/10/22 000000|PUEBLA, PUEBLA|PROC DE ENAJENACION EXTRAJUDICIAL
54897|1|1524427|369 a 383|1117|QUINTO|0013645B1|30/11/12 000000|APAN, HIDALGO|COMPRAVENTA 
57460|1|3193973|14 a 33|230|APENDICE|0454672 1|21/3/24 000000|PUEBLA, PUEBLA|DONACION 
57984|1|1745962|25 a 42|142|APENDICE|0294019 1|14/2/24 000000|CHOLULA, PUEBLA|COMPRAVENTA 
58330|1|2024018783|||||14/3/24 000000|PUEBLA, PUEBLA|NCI 202400069732
58397|1|NCI|2024000071399||FME    N-|2019061024|15/3/24 000000|CIUDAD DE MEXICO|
58146|1|1756780|483 a 498|330|APENDICE|0084633 1|21/3/24 000000|CHOLULA, PUEBLA|COMPRAVENTA
57767|1|1759077|374 a 377|312|APENDICE|0022190 1|15/3/24 000000|CHOLULA, PUEBLA|CANCELACION DE INSCRIPCION
58233|1|727|183 vta|3|5||8/3/24 000000|CHOLULA|POR LA CONSTITUCION
58059|1|728|183 VTA|3|5||11/3/24 000000|CHOLULA, PUEBLA|
58246|1|468287|||||22/2/24 000000|TECALI DE HERRERA, PUEBLA|FOLIO 0105645 1
58383|1|NCI|202400068562||FME   N-|2019041869|13/3/24 000000|PUEBLA|POR LA PROTOCOLIZACION
58116|1|3191796|||||11/3/24 000000|PUEBLA, PUEBLA|FOLIO 0419952 1
58261|1|FME 37087|||||14/2/24 000000|PUEBLA, PUEBLA|NCI 202400037916
58260|1|FME 38291|||||9/2/24 000000|PUEBLA, PUEBLA|NCI 202400034571
58056|1|FME 36345|||||31/10/23 000000|PUEBLA, PUEBLA|NCI 202300286991
58345|1|0|||||8/3/24 000000|PUEBLA, PUEBLA|FME N-2024017184, NCI 202400063924
56214|1|0|N-2021079344||||15/12/21 000000|PUEBLA, PUEBLA.|NCI 202100304568
56987|1|NCI|202200166234||FME  N-|2018004432|8/7/22 000000|HUAJUAPAN DE LEON, OAX.|POR LA PROTOCOLIZACION
56825|1|NCI|202200166810||FME   N-|2022048720|8/7/22 000000|PUEBLA|
57233|1|NCI|202300015632||FME    N-|2023004863|19/1/23 000000|PUEBLA|
58344|1|0|||||7/3/24 000000|PUEBLA, PUEBLA|FME N-2024016831, NCI 202400062441
58162|3|3190044|405 a 450|167|APENDICE|0211370 1|4/3/24 000000|PUEBLA, PUEBLA|PROCEDIMIENTO DE ENAJENACION EXTRAJUDICI
58162|2|3190034|405 a 450|167|APENDICE|0211370 1|4/3/24 000000|PUEBLA, PUEBLA|CONSTITUCION DE FIDEICOMISO
58162|1|3190031|405 a 450|167|APENDICE|0211370 1|4/3/24 000000|PUEBLA, PUEBLA|HIPOTECA
58212|1|0|||||15/2/24 000000|PUEBLA, PUEBLA|FME N-2020069700, NCI 202400040047
58161|3|3189323|452 a 496|168|APENDICE|0155381 1|4/3/24 000000|PUEBLA, PUEBLA|PROCEDIMIENTO DE ENAJENACION EXTRAJUDICI
58161|2|3189287|452 a 496|168|APENDICE|0155381 1|4/3/24 000000|PUEBLA, PUEBLA|CONSTITUCION DE FIDEICOMISO 
58161|1|3189256|452 a 496|168|APENDICE|0155381 1|4/3/24 000000|PUEBLA, PUEBLA|HIPOTECA
58184|1|1101261|||||4/3/24 000000|PUEBLA, PUEBLA|MATRICULA 864-2016
58211|1|718|181|3|5||29/2/24 000000|CHOLULA, PUEBLA|
57280|1|1753279|446 a 520|245|APENDICE|0257508 1|2/3/24 000000|CHOLULA, PUEBLA|COMPRAVENTA
57453|2|3189248|404 a 445|155|APENDICE|0187205 1|29/2/24 000000|PUEBLA, PUEBLA|SUCESION TESTAMENTARIA NOTARIAL
57453|1|3189233|404 a 445|155|APENDICE|0187205 1|29/2/24 000000|PUEBLA, PUEBLA|NOMBRAMIENTO DE ALBACEA DEFINITIVO Y DEC
56822|1|1752272|474 a 568|239|APENDICE|0257534 1|1/3/24 000000|CHOLULA,PUEBLA|COMPRAVENTA
57510|1|3190476||||0524093|5/3/24 000000|PUEBLA|POR LA COMPRA VENTA
57692|1|3190178|||||4/3/24 000000|PUEBLA, PUEBLA|FOLIO 0486242 1
58171|1|FME 20104|||||4/3/24 000000||NCI 202400058252
58019|1|87|36 FRENTE|2|QUINTO||23/10/23 000000|TECAMACHALCO, PUEBLA|
56109|1|3184367||||0307960 1|28/2/24 000000|PUEBLA|POR LA COMPRA VENTA
58008|1|0|N-2021067830||||24/11/23 000000|PUEBLA, PUEBLA|NCI 202300310378
57746|2|3155329|490 a 546|1467|APENDICE|0232674 1|24/10/23 000000|PUEBLA, PUEBLA|HIPOTECA
54253|2|0|||||1/3/24 000000|PUEBLA, PUEBLA|FME N-2024012184, NCI 202400056685
54253|1|181692|||||3/12/19 000000|CIUDAD DE MEXICO|
58173|1|FME 38291|||||1/3/24 000000|PUEBLA, PUEBLA|NCI 202400056186
58132|1|1751661|||||28/2/24 000000|CHOLULA, CHOLULA|FOLIO 0112305 1
58074|1|FME 31983|||||1/3/24 000000|PUEBLA, PUEBLA|NCI 202400055941
58079|1|FME 31983|||||29/2/24 000000|PUEBLA, PUEBLA|NCI 202400055310
58131|1|FME 3907|||||29/2/24 000000|PUEBLA, PUEBLA|NCI 202400054892
55210|1|FME 38291|||||23/12/21 000000|PUEBLA, PUEBLA|NCI 202100311700
55208|1|FME 38291|||||23/12/21 000000|PUEBLA, PUEBLA|NCI 202100311699
55207|1|FME 38291|||||23/12/21 000000|PUEBLA, PUEBLA|NCI 202100311698
55206|1|FME 38291|||||23/12/01 000000|PUEBLA, PUEBLA|NCI 202100311697
55205|1|FME 38291|||||23/12/21 000000|PUEBLA, PUEBLA|NCI 202100311685
55227|1|0|||||7/1/22 000000|PUEBLAA, PUEBLA|FME N-2016010866, NCI 202200003813
55211|1|FME 37087|||||5/1/22 000000|PUEBLA, PUEBLA|NCI 202200001993
58334|1|NCI|202400052095||FME      N|2024014262|27/2/24 000000|PUEBLA|
58113|4|3186245|250 a 284|123|APENDICE|0001432 1|21/2/24 000000|PUEBLA, PUEBLA|CONVENIO DE ENAJENACION EXTRAJUDICIAL DE
58113|3|3186235|250 a 284 |123|APENDICE|0001432 1|21/2/24 000000|PUEBLA, PUEBLA|CONSTITUCION DE FIDEICOMISO
58113|2|3186210|250 a 284|123|APENDICE|0001432 1|21/2/24 000000|PUEBLA, PUEBLA|HIPOTECA
